Entity,Code,Year,"Net enrolment rate, secondary, gender parity index (GPI)"
Afghanistan,AFG,1974,0.166170001029968
Afghanistan,AFG,1993,0.376910001039505
Afghanistan,AFG,2007,0.37950000166893
Afghanistan,AFG,2013,0.561309993267059
Afghanistan,AFG,2014,0.5728700160980219
Albania,ALB,2000,0.962000012397766
Albania,ALB,2001,0.959330022335052
Albania,ALB,2013,0.9950900077819821
Albania,ALB,2014,0.9827799797058109
Algeria,DZA,1971,0.4177199900150301
Algeria,DZA,1984,0.7185199856758121
Algeria,DZA,1995,0.87992000579834
Algeria,DZA,1996,0.891080021858215
Algeria,DZA,1997,0.94173002243042
Angola,AGO,1972,0.834980010986328
Angola,AGO,1982,0.533389985561371
Angola,AGO,2008,0.88222998380661
Angola,AGO,2009,0.8904899954795841
Angola,AGO,2010,0.811950027942657
Antigua and Barbuda,ATG,2000,0.924319982528687
Antigua and Barbuda,ATG,2014,1.04077005386353
Arab World,,1970,0.604390025138855
Arab World,,1971,0.6047400236129761
Arab World,,1972,0.610270023345947
Arab World,,1973,0.609160006046295
Arab World,,1974,0.617110013961792
Arab World,,1975,0.6250699758529661
Arab World,,1976,0.6334300041198729
Arab World,,1977,0.6413000226020811
Arab World,,1978,0.647759974002838
Arab World,,1979,0.6559799909591669
Arab World,,1980,0.6677899956703189
Arab World,,1981,0.682479977607727
Arab World,,1982,0.694400012493134
Arab World,,1983,0.707830011844635
Arab World,,1984,0.721629977226257
Arab World,,1985,0.7334799766540531
Arab World,,1986,0.7439600229263309
Arab World,,1987,0.7559800148010251
Arab World,,1988,0.7692800164222721
Arab World,,1989,0.780420005321503
Arab World,,1990,0.789830029010773
Arab World,,1991,0.798479974269867
Arab World,,1992,0.809170007705688
Arab World,,1993,0.82056999206543
Arab World,,1994,0.831110000610352
Arab World,,1995,0.8373100161552429
Arab World,,1996,0.843970000743866
Arab World,,1997,0.8549299836158749
Arab World,,1998,0.857720017433167
Arab World,,1999,0.8627300262451171
Arab World,,2000,0.86395001411438
Arab World,,2001,0.869000017642975
Arab World,,2002,0.874260008335114
Arab World,,2003,0.884819984436035
Arab World,,2004,0.884270012378693
Arab World,,2005,0.891260027885437
Arab World,,2006,0.8980699777603149
Arab World,,2007,0.906790018081665
Arab World,,2008,0.911899983882904
Arab World,,2009,0.9171800017356869
Arab World,,2010,0.920740008354187
Arab World,,2011,0.9245799779891971
Arab World,,2012,0.926150023937225
Arab World,,2013,0.9232699871063229
Arab World,,2014,0.924960017204285
Argentina,ARG,1974,1.1340399980545002
Argentina,ARG,1975,1.13953995704651
Argentina,ARG,1998,1.07278001308441
Argentina,ARG,1999,1.0727299451828
Argentina,ARG,2000,1.06152999401093
Argentina,ARG,2001,1.0622700452804599
Argentina,ARG,2002,1.06061995029449
Argentina,ARG,2003,1.0679899454116801
Argentina,ARG,2004,1.0824400186538699
Argentina,ARG,2005,1.09415996074677
Argentina,ARG,2006,1.1072000265121498
Argentina,ARG,2007,1.11635005474091
Argentina,ARG,2008,1.12413001060486
Argentina,ARG,2009,1.1141699552536
Argentina,ARG,2010,1.0943900346756
Argentina,ARG,2011,1.0978399515152
Argentina,ARG,2012,1.0824400186538699
Argentina,ARG,2013,1.0697599649429301
Armenia,ARM,2007,1.14881002902985
Armenia,ARM,2008,1.15322005748749
Aruba,ABW,1999,1.08503997325897
Aruba,ABW,2000,1.0540800094604499
Aruba,ABW,2001,1.0516899824142498
Aruba,ABW,2002,1.06700003147125
Aruba,ABW,2003,1.07058000564575
Aruba,ABW,2004,1.00027000904083
Aruba,ABW,2005,1.01643002033234
Aruba,ABW,2007,1.0329400300979599
Aruba,ABW,2008,1.0942200422286998
Aruba,ABW,2009,1.08545994758606
Aruba,ABW,2011,1.10002994537354
Australia,AUS,1993,1.0231000185012802
Australia,AUS,1994,1.02488005161285
Australia,AUS,1995,1.01934003829956
Australia,AUS,1996,1.01333999633789
Australia,AUS,2002,1.0349299907684302
Australia,AUS,2003,1.03073000907898
Australia,AUS,2004,1.03337001800537
Australia,AUS,2005,1.0478800535202
Australia,AUS,2006,1.0499700307846098
Australia,AUS,2007,1.04955005645752
Australia,AUS,2008,1.05009996891022
Australia,AUS,2009,1.04153001308441
Australia,AUS,2010,1.0375399589538599
Australia,AUS,2011,1.03436005115509
Australia,AUS,2012,1.0349299907684302
Australia,AUS,2013,1.03047001361847
Azerbaijan,AZE,2006,0.966459989547729
Azerbaijan,AZE,2007,0.968349993228912
Azerbaijan,AZE,2008,0.9804499745368961
Azerbaijan,AZE,2009,1.0034999847412098
Azerbaijan,AZE,2010,0.977620005607605
Azerbaijan,AZE,2011,0.9746000170707699
Azerbaijan,AZE,2012,0.980949997901917
Azerbaijan,AZE,2013,0.97654002904892
Azerbaijan,AZE,2014,0.98225998878479
Bahamas,BHS,1992,1.02924001216888
Bahamas,BHS,1993,1.02461004257202
Bahamas,BHS,1999,0.98905998468399
Bahamas,BHS,2004,1.01268994808197
Bahamas,BHS,2005,1.00669002532959
Bahamas,BHS,2006,1.01431000232697
Bahamas,BHS,2007,1.04788994789124
Bahamas,BHS,2008,1.03947997093201
Bahamas,BHS,2009,1.04550004005432
Bahamas,BHS,2010,1.07454001903534
Bahrain,BHR,1977,1.0058799982070898
Bahrain,BHR,1978,0.9549800157547
Bahrain,BHR,1979,0.9405099749565121
Bahrain,BHR,1982,0.912020027637482
Bahrain,BHR,1983,0.909409999847412
Bahrain,BHR,1984,0.9880899786949159
Bahrain,BHR,1985,0.9803699851036071
Bahrain,BHR,1986,0.9794099926948551
Bahrain,BHR,1987,0.995350003242493
Bahrain,BHR,1989,1.0133199691772499
Bahrain,BHR,1994,1.06684005260468
Bahrain,BHR,1995,1.04990005493164
Bahrain,BHR,1997,1.09592998027802
Bahrain,BHR,1998,1.07111001014709
Bahrain,BHR,1999,1.08441996574402
Bahrain,BHR,2000,1.0834100246429401
Bahrain,BHR,2006,1.05369997024536
Bangladesh,BGD,1977,0.290179997682571
Bangladesh,BGD,1981,0.241870000958443
Bangladesh,BGD,1998,0.9367399811744691
Bangladesh,BGD,1999,0.98785001039505
Bangladesh,BGD,2000,1.0267800092697101
Bangladesh,BGD,2001,1.07888996601105
Bangladesh,BGD,2002,1.0971399545669598
Bangladesh,BGD,2003,1.1026999950408898
Bangladesh,BGD,2004,1.02980005741119
Bangladesh,BGD,2005,1.06851005554199
Bangladesh,BGD,2006,1.05927002429962
Bangladesh,BGD,2007,1.05499005317688
Bangladesh,BGD,2009,1.0848699808120699
Bangladesh,BGD,2010,1.1210900545120202
Bangladesh,BGD,2011,1.1587400436401398
Bangladesh,BGD,2012,1.14663004875183
Bangladesh,BGD,2013,1.0850299596786501
Barbados,BRB,1978,1.09299004077911
Barbados,BRB,1981,1.00278997421265
Barbados,BRB,1982,1.08147001266479
Barbados,BRB,1983,1.0300999879836998
Barbados,BRB,1984,1.03055000305176
Barbados,BRB,1985,1.02532994747162
Barbados,BRB,1989,1.05519998073578
Barbados,BRB,1990,0.8772199749946591
Barbados,BRB,2000,0.9865599870681759
Barbados,BRB,2001,0.9692800045013431
Barbados,BRB,2002,0.989660024642944
Barbados,BRB,2003,0.992829978466034
Barbados,BRB,2004,1.0450799465179401
Barbados,BRB,2005,0.996510028839111
Barbados,BRB,2006,1.00027000904083
Barbados,BRB,2007,1.0358200073242199
Barbados,BRB,2008,1.01575994491577
Barbados,BRB,2009,1.01304996013641
Barbados,BRB,2010,0.999650001525879
Barbados,BRB,2011,1.06286001205444
Belarus,BLR,2010,1.0030599832534801
Belarus,BLR,2011,1.00492000579834
Belarus,BLR,2012,1.00511002540588
Belgium,BEL,1977,1.04653000831604
Belgium,BEL,1993,0.998139977455139
Belgium,BEL,1994,1.0004199743270898
Belgium,BEL,1995,0.999539971351624
Belgium,BEL,1996,1.00620996952057
Belgium,BEL,2004,0.9569500088691708
Belgium,BEL,2005,0.9657400250434879
Belgium,BEL,2013,1.00978994369507
Belgium,BEL,2014,1.00812995433807
Belize,BLZ,1999,1.07069003582001
Belize,BLZ,2000,1.0546699762344398
Belize,BLZ,2001,1.05899000167847
Belize,BLZ,2003,1.03761994838715
Belize,BLZ,2005,1.04071998596191
Belize,BLZ,2006,1.0692800283432
Belize,BLZ,2007,1.0723299980163599
Belize,BLZ,2008,1.08660995960236
Belize,BLZ,2009,1.08326995372772
Belize,BLZ,2010,1.08447003364563
Belize,BLZ,2011,1.07044994831085
Belize,BLZ,2012,1.04014003276825
Belize,BLZ,2013,1.0560599565506
Belize,BLZ,2014,1.05931997299194
Benin,BEN,2000,0.45776000618934604
Benin,BEN,2001,0.47387000918388394
Benin,BEN,2013,0.6836000084877011
Bermuda,BMU,1978,1.0829199552536
Bermuda,BMU,2010,0.922169983386993
Bermuda,BMU,2011,1.1569299697876
Bhutan,BTN,1998,0.900730013847351
Bhutan,BTN,1999,0.9125099778175351
Bhutan,BTN,2000,0.927720010280609
Bhutan,BTN,2001,0.969290018081665
Bhutan,BTN,2005,1.01507997512817
Bhutan,BTN,2006,1.03006994724274
Bhutan,BTN,2008,1.01528000831604
Bhutan,BTN,2009,1.07774996757507
Bhutan,BTN,2010,1.0971399545669598
Bhutan,BTN,2011,1.14207005500793
Bhutan,BTN,2012,1.15073001384735
Bhutan,BTN,2013,1.1475499868392902
Bhutan,BTN,2014,1.1361199617385902
Bolivia,BOL,2006,0.9672300219535831
Bolivia,BOL,2007,0.9833800196647641
Bolivia,BOL,2008,0.9941400289535519
Bolivia,BOL,2009,1.0023000240325899
Bolivia,BOL,2010,1.00531005859375
Bolivia,BOL,2011,1.01042997837067
Bolivia,BOL,2012,1.01528000831604
Bolivia,BOL,2013,1.01349997520447
Botswana,BWA,1971,0.925189971923828
Botswana,BWA,1972,0.919770002365112
Botswana,BWA,1973,1.1191799640655502
Botswana,BWA,1974,1.2305599451065101
Botswana,BWA,1975,1.3174400329589802
Botswana,BWA,1976,1.3807699680328402
Botswana,BWA,1977,1.42139005661011
Botswana,BWA,1978,1.4376000165939298
Botswana,BWA,1979,1.5084799528121902
Botswana,BWA,1980,1.40539002418518
Botswana,BWA,1981,1.3235499858856201
Botswana,BWA,1984,1.21730005741119
Botswana,BWA,1985,1.19766998291016
Botswana,BWA,1986,1.1714999675750701
Botswana,BWA,1989,1.15302002429962
